id,title,question,dataset_id,dataset_title,activity_url,script_file,classroom_archive,access_mode,duration,level,activity_type,concepts,concept_ids,level_ids,search_aliases,context,hook,materials,advanced_math_stats,teacher_notes,pedagogical_status,teacher_preparation,expected_output,learning_objectives,prerequisites,success_criteria,adaptations,requires_prepared_data,requires_live_download,recommended_use,result_visible_in_page,status
actes-criminels-rapport-long,Rapport descriptif et éthique sur les actes criminels,Comment les actes enregistrés se répartissent-ils selon l’année et la catégorie?,actes-criminels-montreal,Actes criminels enregistrés à Montréal,datasets/actes-criminels-montreal/activite-longue.qmd,datasets/actes-criminels-montreal/activite-longue.R,assets/classroom/actes-criminels-montreal.zip,frozen,2-3 heures,Avancé,Mini-projet; Étude de cas,Éthique; Séries temporelles; Agrégation; Communication des limites,ethique; series-temporelles; agregation; communication-des-limites,avance,Agrégation; agrégation; Communication des limites; communication des limites; Séries temporelles; séries temporelles; Éthique; éthique,Sécurité publique,"La déclaration et l’enregistrement ne couvrent pas tous les crimes. Sans population exposée, les nombres ne sont pas des risques; la dernière année peut être incomplète.",Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,"La déclaration et l’enregistrement ne couvrent pas tous les crimes. Sans population exposée, les nombres ne sont pas des risques; la dernière année peut être incomplète.",pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Comparer les nombres annuels par catégorie.; Examiner les décomptes selon le quart de journée et signaler la période finale incomplète.; Formuler une limite qui découle de la source et de l’unité observée.,Savoir ouvrir un projet RStudio et exécuter un script R.; Savoir lire un tableau groupé et un graphique descriptif; repérer les valeurs manquantes.,"L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Comparer les nombres annuels par catégorie.; Examiner les décomptes selon le quart de journée et signaler la période finale incomplète.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Mini-projet guidé,FALSE,Documentation de source et ressources de classe fournies
actes-criminels-ethique-court,Lire prudemment des données de sécurité publique,Quelles catégories d’actes sont les plus enregistrées?,actes-criminels-montreal,Actes criminels enregistrés à Montréal,datasets/actes-criminels-montreal/activite-courte.qmd,datasets/actes-criminels-montreal/activite-courte.R,assets/classroom/actes-criminels-montreal.zip,frozen,30-45 minutes,Intermédiaire,Laboratoire; Discussion guidée,Données sensibles; Unité statistique; Catégories; Statistiques descriptives; Éthique,donnees-sensibles; unite-statistique; categories; statistiques-descriptives; ethique,intermediaire,Catégories; catégories; Données sensibles; données sensibles; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Unité statistique; unité statistique; Éthique; éthique,Sécurité publique,"La déclaration et l’enregistrement ne couvrent pas tous les crimes. Sans population exposée, les nombres ne sont pas des risques; la dernière année peut être incomplète.",Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,"La déclaration et l’enregistrement ne couvrent pas tous les crimes. Sans population exposée, les nombres ne sont pas des risques; la dernière année peut être incomplète.",pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Compter les actes par catégorie et lire le diagramme.; Identifier la première et la dernière date de la table.; Formuler une limite qui découle de la source et de l’unité observée.,"Savoir ouvrir un projet RStudio et exécuter un script R.; Reconnaître une variable, un décompte et une proportion.","L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Compter les actes par catégorie et lire le diagramme.; Identifier la première et la dernière date de la table.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Discussion guidée,FALSE,Documentation de source et ressources de classe fournies
arbres-publics-carte-long,Carte et qualité des données des arbres publics,Comment décrire les arbres inventoriés selon l’arrondissement?,arbres-publics-montreal,Arbres publics sur le territoire de Montréal,datasets/arbres-publics-montreal/activite-longue.qmd,datasets/arbres-publics-montreal/activite-longue.R,assets/classroom/arbres-publics-montreal.zip,frozen,2-3 heures,Intermédiaire,Mini-projet; Étude de cas,Cartographie; Valeurs manquantes; Statistiques descriptives; Qualité des données,cartographie; valeurs-manquantes; statistiques-descriptives; qualite-des-donnees,intermediaire,Cartographie; Carte; cartes; cartographie; Qualité des données; qualité des données; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,Foresterie urbaine,Les dates de relevé et la couverture de l’inventaire peuvent varier. Les arbres privés et tous les services écologiques ne sont pas observés.,Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,Les dates de relevé et la couverture de l’inventaire peuvent varier. Les arbres privés et tous les services écologiques ne sont pas observés.,pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.","Comparer les nombres d’arbres, les nombres d’essences et les diamètres médians.; Distinguer le nombre de diamètres connus du nombre total d’arbres.; Formuler une limite qui découle de la source et de l’unité observée.",Savoir ouvrir un projet RStudio et exécuter un script R.; Savoir lire un tableau groupé et un graphique descriptif; repérer les valeurs manquantes.,"L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Comparer les nombres d’arbres, les nombres d’essences et les diamètres médians.; Distinguer le nombre de diamètres connus du nombre total d’arbres.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Mini-projet guidé,FALSE,Documentation de source et ressources de classe fournies
arbres-publics-essences-court,Essences d'arbres par arrondissement,Quelles essences dominent dans un arrondissement de l’inventaire?,arbres-publics-montreal,Arbres publics sur le territoire de Montréal,datasets/arbres-publics-montreal/activite-courte.qmd,datasets/arbres-publics-montreal/activite-courte.R,assets/classroom/arbres-publics-montreal.zip,frozen,30-45 minutes,Introduction,Laboratoire; Exploration de données,Comptage; Catégories; Visualisation; Qualité des données,comptage; categories; visualisation; qualite-des-donnees,introduction,Catégories; catégories; Comptage; comptage; Qualité des données; qualité des données; Visualisation; visualisation,Foresterie urbaine,Les dates de relevé et la couverture de l’inventaire peuvent varier. Les arbres privés et tous les services écologiques ne sont pas observés.,Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,Les dates de relevé et la couverture de l’inventaire peuvent varier. Les arbres privés et tous les services écologiques ne sont pas observés.,pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Repérer l’arrondissement le plus représenté parmi ceux ayant au moins 10 000 arbres.; Comparer les dix essences les plus fréquentes dans cet arrondissement.; Formuler une limite qui découle de la source et de l’unité observée.,"Savoir ouvrir un projet RStudio et exécuter un script R.; Reconnaître une variable, un décompte et une proportion.","L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Repérer l’arrondissement le plus représenté parmi ceux ayant au moins 10 000 arbres.; Comparer les dix essences les plus fréquentes dans cet arrondissement.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Exercice guidé,FALSE,Documentation de source et ressources de classe fournies
bibliotheques-portrait-regional-long,Mini-projet - Portrait régional des bibliothèques publiques,Que change la taille de la population desservie dans la comparaison des visites?,bibliotheques-quebec,Statistiques des bibliothèques publiques du Québec,datasets/bibliotheques-quebec/activite-longue.qmd,datasets/bibliotheques-quebec/activite-longue.R,assets/classroom/bibliotheques-quebec.zip,frozen,2-3 heures,Intermédiaire,Étude de cas; Projet ou tâche longue; Exploration de données,Données et mesure; Statistiques descriptives; Modélisation et relations; Communication,donnees-et-mesure; statistiques-descriptives; modelisation-et-relations; communication,intermediaire,Communication; communication; Données et mesure; données et mesure; Modélisation et relations; modélisation et relations; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives,Culture et services publics,"Les territoires desservis, missions et modalités de comptage diffèrent. Un ratio élevé ne prouve pas une meilleure qualité de service.",Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,"Les territoires desservis, missions et modalités de comptage diffèrent. Un ratio élevé ne prouve pas une meilleure qualité de service.",pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Comparer les médianes des ratios par catégorie de bibliothèque.; Lire le nuage population-visites et compter les visites manquantes avant le graphique.; Formuler une limite qui découle de la source et de l’unité observée.,Savoir ouvrir un projet RStudio et exécuter un script R.; Savoir lire un tableau groupé et un graphique descriptif; repérer les valeurs manquantes.,"L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Comparer les médianes des ratios par catégorie de bibliothèque.; Lire le nuage population-visites et compter les visites manquantes avant le graphique.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Mini-projet guidé,FALSE,Documentation de source et ressources de classe fournies
bibliotheques-visites-ratios-court,Laboratoire - Visites par habitant dans les bibliothèques,Comment comparer les visites de bibliothèques de tailles différentes?,bibliotheques-quebec,Statistiques des bibliothèques publiques du Québec,datasets/bibliotheques-quebec/activite-courte.qmd,datasets/bibliotheques-quebec/activite-courte.R,assets/classroom/bibliotheques-quebec.zip,frozen,30-45 minutes,Introduction,Exercice; Exploration de données,Données et mesure; Statistiques descriptives; Visualisation,donnees-et-mesure; statistiques-descriptives; visualisation,introduction,Données et mesure; données et mesure; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Visualisation; visualisation,Culture et services publics,"Les territoires desservis, missions et modalités de comptage diffèrent. Un ratio élevé ne prouve pas une meilleure qualité de service.",Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,"Les territoires desservis, missions et modalités de comptage diffèrent. Un ratio élevé ne prouve pas une meilleure qualité de service.",pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Recalculer les visites par personne avec une population desservie positive.; Comparer l’histogramme et les huit ratios les plus élevés.; Formuler une limite qui découle de la source et de l’unité observée.,"Savoir ouvrir un projet RStudio et exécuter un script R.; Reconnaître une variable, un décompte et une proportion.","L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Recalculer les visites par personne avec une population desservie positive.; Comparer l’histogramme et les huit ratios les plus élevés.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Exercice guidé,FALSE,Documentation de source et ressources de classe fournies
bixi-rapport-stations-long,Mini-projet - Rapport BIXI sur un instantané GBFS,La disponibilité varie-t-elle entre groupes de capacité de stations?,bixi,État des stations BIXI,datasets/bixi/activite-longue.qmd,datasets/bixi/activite-longue.R,assets/classroom/bixi.zip,frozen,2-3 heures,Intermédiaire,Étude de cas; Projet ou tâche longue; Exploration de données,Données et mesure; Statistiques descriptives; Visualisation; Communication,donnees-et-mesure; statistiques-descriptives; visualisation; communication,intermediaire,Communication; communication; Données et mesure; données et mesure; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Visualisation; visualisation,Mobilité urbaine,"Un instantané ne mesure ni la demande, ni les trajets, ni le rééquilibrage. Le statut opérationnel peut expliquer une disponibilité nulle.",Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,"Un instantané ne mesure ni la demande, ni les trajets, ni le rééquilibrage. Le statut opérationnel peut expliquer une disponibilité nulle.",pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Comparer les médianes d’occupation et les proportions sans vélo par groupe et statut.; Examiner les boîtes à moustaches et l’étendue des heures des rapports.; Formuler une limite qui découle de la source et de l’unité observée.,Savoir ouvrir un projet RStudio et exécuter un script R.; Savoir lire un tableau groupé et un graphique descriptif; repérer les valeurs manquantes.,"L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Comparer les médianes d’occupation et les proportions sans vélo par groupe et statut.; Examiner les boîtes à moustaches et l’étendue des heures des rapports.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Mini-projet guidé,FALSE,Documentation de source et ressources de classe fournies
bixi-disponibilite-stations-court,Laboratoire - Disponibilité instantanée des stations BIXI,Comment décrire la disponibilité des vélos BIXI dans un instantané?,bixi,État des stations BIXI,datasets/bixi/activite-courte.qmd,datasets/bixi/activite-courte.R,assets/classroom/bixi.zip,frozen,30-45 minutes,Introduction,Exercice; Exploration de données,Données et mesure; Statistiques descriptives; Visualisation,donnees-et-mesure; statistiques-descriptives; visualisation,introduction,Données et mesure; données et mesure; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Visualisation; visualisation,Mobilité urbaine,"Un instantané ne mesure ni la demande, ni les trajets, ni le rééquilibrage. Le statut opérationnel peut expliquer une disponibilité nulle.",Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,"Un instantané ne mesure ni la demande, ni les trajets, ni le rééquilibrage. Le statut opérationnel peut expliquer une disponibilité nulle.",pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.","Vérifier le ratio vélos disponibles/capacité pour les stations de capacité positive.; Calculer la proportion sous 25 %, repérer les stations sans vélo et lire l’histogramme.; Formuler une limite qui découle de la source et de l’unité observée.","Savoir ouvrir un projet RStudio et exécuter un script R.; Reconnaître une variable, un décompte et une proportion.","L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Vérifier le ratio vélos disponibles/capacité pour les stations de capacité positive.; Calculer la proportion sous 25 %, repérer les stations sans vélo et lire l’histogramme.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Exercice guidé,FALSE,Documentation de source et ressources de classe fournies
profil-financier-portrait-long,Portrait descriptif des profils financiers municipaux,Comment comparer des indicateurs fonciers entre territoires?,budgets-municipaux-quebec,Profil financier des municipalités locales du Québec,datasets/budgets-municipaux-quebec/activite-longue.qmd,datasets/budgets-municipaux-quebec/activite-longue.R,assets/classroom/budgets-municipaux-quebec.zip,frozen,2-3 heures,Introduction à intermédiaire,Mini-projet; Étude de cas; Exploration de données,Format long; Dictionnaire de variables; Ratios; Indices; Valeurs manquantes; Comparaison descriptive,format-long; dictionnaire-de-variables; ratios; indices; valeurs-manquantes; comparaison-descriptive,introduction; intermediaire,Comparaison descriptive; comparaison descriptive; Dictionnaire de variables; dictionnaire de variables; Format long; format long; Indices; indices; Ratios; ratios; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,Finances et fiscalité municipales,Le dictionnaire distingue parts et indices. Comparer des profils publiés ne permet pas d’évaluer l’efficacité d’une administration.,Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,Le dictionnaire distingue parts et indices. Comparer des profils publiés ne permet pas d’évaluer l’efficacité d’une administration.,pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.",Résumer les cinq postes retenus par région sans mélanger leurs unités.; Interpréter la distribution de l’indice RFU FIALX02097 par classe de population.; Formuler une limite qui découle de la source et de l’unité observée.,Savoir ouvrir un projet RStudio et exécuter un script R.; Savoir lire un tableau groupé et un graphique descriptif; repérer les valeurs manquantes.,"L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Résumer les cinq postes retenus par région sans mélanger leurs unités.; Interpréter la distribution de l’indice RFU FIALX02097 par classe de population.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Mini-projet guidé,FALSE,Documentation de source et ressources de classe fournies
profil-financier-classes-court,Profils fonciers par classe de population,Comment la part résidentielle publiée varie-t-elle selon la classe de population?,budgets-municipaux-quebec,Profil financier des municipalités locales du Québec,datasets/budgets-municipaux-quebec/activite-courte.qmd,datasets/budgets-municipaux-quebec/activite-courte.R,assets/classroom/budgets-municipaux-quebec.zip,frozen,45-60 minutes,Introduction à intermédiaire,Laboratoire; Exploration de données,Dictionnaire de variables; Classes de population; Médiane; Visualisation; Interprétation prudente,dictionnaire-de-variables; classes-de-population; mediane; visualisation; interpretation-prudente,introduction; intermediaire,Classes de population; classes de population; Dictionnaire de variables; dictionnaire de variables; Interprétation prudente; interprétation prudente; Médiane; médiane; Visualisation; visualisation,Finances et fiscalité municipales,Le dictionnaire distingue parts et indices. Comparer des profils publiés ne permet pas d’évaluer l’efficacité d’une administration.,Trousse ZIP et projet RStudio; Script R complet; CSV préparés et provenance,FALSE,Le dictionnaire distingue parts et indices. Comparer des profils publiés ne permet pas d’évaluer l’efficacité d’une administration.,pret_a_enseigner,"Extraire la trousse, ouvrir le projet RStudio, installer les packages avant la séance et lancer le script.","Les tableaux et graphiques du script, accompagnés d’une interprétation de 6 à 8 lignes répondant à la question.","Vérifier le sens du poste FIALX02005 dans le dictionnaire.; Comparer médianes, quartiles et boîtes à moustaches par classe de population.; Formuler une limite qui découle de la source et de l’unité observée.","Savoir ouvrir un projet RStudio et exécuter un script R.; Reconnaître une variable, un décompte et une proportion.","L’unité, la période ou la portée documentaire et les variables utilisées sont nommées.; Vérifier le sens du poste FIALX02005 dans le dictionnaire.; Comparer médianes, quartiles et boîtes à moustaches par classe de population.; La conclusion répond à la question et explique au moins une limite précise.","Débuter avec le script exécuté par la personne enseignante, puis faire interpréter une seule sortie.; Pour approfondir, modifier une sélection ou un regroupement et justifier ce que cela change.",TRUE,FALSE,Laboratoire guidé,FALSE,Documentation de source et ressources de classe fournies
